State,Constituency,O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Pct of Votes
Odisha,Athamallik,4,HRUSIKESH LUHA,Bahujan Samaj Party,1131,3,1134,0.85
Odisha,Athamallik,5,RAMANI RANJAN PRADHAN,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),950,3,953,0.72
Odisha,Athamallik,6,SARAT CHANDRA MAHAPATRA,Independent,557,0,557,0.42
Odisha,Athamallik,7,NOTA,None of the Above,1381,2,1383,1.04
Odisha,Chhendipada,1,Agasti Behera,Bharatiya Janata Party,37423,0,37423,44.74
Odisha,Chhendipada,2,Sarat Chandra Naik,Bahujan Samaj Party,785,0,785,0.94
Odisha,Chhendipada,3,Sashmita Behera,Indian National Congress,6222,0,6222,7.44
Odisha,Chhendipada,4,Susanta Kumar Behera,Biju Janata Dal,37081,0,37081,44.33
Odisha,Chhendipada,5,Bharat Kumar Naik,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),345,0,345,0.41
Odisha,Chhendipada,6,Subas Naik,Ambedkarite Party of India,474,0,474,0.57
Odisha,Chhendipada,7,Chhabindra Singh Samant,Independent,248,0,248,0.3
Odisha,Chhendipada,8,Panchanan Behera,Independent,319,0,319,0.38
Odisha,Chhendipada,9,NOTA,None of the Above,756,0,756,0.9
Odisha,Sonepur,1,Ashok Kumar Pujari,Bharatiya Janata Party,55501,0,55501,38.15
Odisha,Sonepur,2,Chittaranjan Mishra,Indian National Congress,16303,0,16303,11.21
Odisha,Sonepur,3,Niranjan Pujari,Biju Janata Dal,68462,0,68462,47.06
Odisha,Sonepur,4,Surubabu Nanda,Bahujan Samaj Party,1772,0,1772,1.22
Odisha,Sonepur,5,Umesh Chandra Padhan,Communist Party of India  (Marxist-Leninist)  (Liberation),717,0,717,0.49
Odisha,Sonepur,6,Tankadhara Khamari,Independent,604,0,604,0.42
Odisha,Sonepur,7,Nabakrushna Danta,Independent,1010,0,1010,0.69
Odisha,Sonepur,8,NOTA,None of the Above,1109,0,1109,0.76
Odisha,Birmaharajpur,1,PADMANABHA BEHERA,Biju Janata Dal,37181,156,37337,36.32
Odisha,Birmaharajpur,2,BINOD PATRA,Indian National Congress,24644,86,24730,24.06
Odisha,Birmaharajpur,3,BRAJENDRA LUHA,Bahujan Samaj Party,1366,5,1371,1.33
Odisha,Birmaharajpur,4,RAGHUNATH JAGADALA,Bharatiya Janata Party,35342,225,35567,34.6
Odisha,Birmaharajpur,5,NABIN BHOI,Ambedkarite Party of India,649,5,654,0.64
Odisha,Birmaharajpur,6,NITYANANDA MALLIK,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),286,1,287,0.28
Odisha,Birmaharajpur,7,AKSHYA BIBHAR,Independent,252,0,252,0.25
Odisha,Birmaharajpur,8,ANANDA BARIK,Independent,1509,11,1520,1.48
Odisha,Birmaharajpur,9,ASHRAYA MAHANANDA,Independent,396,2,398,0.39
Odisha,Birmaharajpur,10,NOTA,None of the Above,670,1,671,0.65
Odisha,Patnagarh,1,KANAK VARDHAN SINGH DEO,Bharatiya Janata Party,52895,0,52895,38.02
Odisha,Patnagarh,2,RAMESH KUMAR PUROHIT,Indian National Congress,20627,0,20627,14.83
Odisha,Patnagarh,3,SAROJ KUMAR MEHER,Biju Janata Dal,60440,0,60440,43.44
Odisha,Patnagarh,4,LABA SUNA,Bahujan Samaj Party,2912,0,2912,2.09
Odisha,Patnagarh,5,NOTA,None of the Above,2258,0,2258,1.62
Odisha,Loisingha,1,NABA KISHOR NAIK,Indian National Congress,23364,0,23364,24.25
Odisha,Loisingha,2,PRADEEP KUMAR BEHERA,Biju Janata Dal,28290,0,28290,29.36
Odisha,Loisingha,3,Mukesh Mahaling,Bharatiya Janata Party,39964,0,39964,41.48
Odisha,Loisingha,4,LALMAN NAG,Ambedkarite Party of India,1267,0,1267,1.32
Odisha,Loisingha,5,JAGADISH CHANDRA BIBHAR,Independent,450,0,450,0.47
Odisha,Loisingha,6,BALARAM SA,Independent,1001,0,1001,1.04
Odisha,Loisingha,7,Dr. Bipin Kusulia,Independent,371,0,371,0.39
Odisha,Loisingha,8,MANORANJAN KUMBHAR,Independent,876,0,876,0.91
Odisha,Loisingha,9,NOTA,None of the Above,759,0,759,0.79
Odisha,Bolangir,1,ANANTA KUMAR DASH,Bharatiya Janata Party,15454,0,15454,14.3
Odisha,Bolangir,2,ARKESH NARAYAN SINGH DEO,Biju Janata Dal,42172,0,42172,39.03
Odisha,Bolangir,3,DRONA KUMBHAR,Bahujan Samaj Party,883,0,883,0.82
Odisha,Bolangir,4,NARASINGHA MISHRA,Indian National Congress,46060,0,46060,42.63
Odisha,Bolangir,5,ASHISH PANDE,Aam Aadmi Party,1172,0,1172,1.08
Odisha,Bolangir,6,KAPILA KUMBHAR,"Proutist Bloc, India",461,0,461,0.43
Odisha,Bolangir,7,NILAKANTHA NAG,Ambedkarite Party of India,588,0,588,0.54
Odisha,Bolangir,8,DWIJA DALPATI,Independent,440,0,440,0.41
Odisha,Titlagarh,1,ASHOK DORA,Bharatiya Janata Party,23317,0,23317,23.67
Odisha,Titlagarh,2,TUKUNI SAHU,Biju Janata Dal,36004,0,36004,36.55
Odisha,Titlagarh,3,BIBHISAN NAG,Bahujan Samaj Party,1548,0,1548,1.57
Odisha,Titlagarh,4,SURENDRA SING BHOI,Indian National Congress,33623,0,33623,34.14
Odisha,Titlagarh,5,MADHUSUDAN BARIK,Ambedkarite Party of India,1187,0,1187,1.21
Odisha,Titlagarh,6,SATYA NARAYAN BOHIDAR,Independent,516,0,516,0.52
Odisha,Titlagarh,7,HIFZUL RAHMAN,Independent,574,0,574,0.58
Odisha,Titlagarh,8,KHEMRAJ AGRAWAL,Independent,611,0,611,0.62
Odisha,Titlagarh,9,NOTA,None of the Above,1119,0,1119,1.14
Odisha,Bolangir,9,NOTA,None of the Above,828,0,828,0.77
Odisha,Kantabanji,1,AJAYA KUMAR DAS,Biju Janata Dal,17909,0,17909,29.33
Odisha,Kantabanji,2,CHAMPA NAG,Bahujan Samaj Party,546,0,546,0.89
Odisha,Kantabanji,3,SANTOSH SINGH SALUJA,Indian National Congress,20835,0,20835,34.12
Odisha,Kantabanji,4,LAXMAN BAG,Bharatiya Janata Party,19559,0,19559,32.03
Odisha,Kantabanji,5,MAYA BAG,Independent,703,0,703,1.15
Odisha,Kantabanji,6,SURATHA BEHERA,Independent,672,0,672,1.1
Odisha,Kantabanji,7,NOTA,None of the Above,835,0,835,1.37
Odisha,Nuapada,1,KUNTI SAHOO,Bahujan Samaj Party,1163,0,1163,1.03
Odisha,Nuapada,2,Ghasi Ram Majhi,Indian National Congress,32853,0,32853,29.16
Odisha,Nuapada,3,RAJENDRA DHOLAKIA,Biju Janata Dal,44038,0,44038,39.09
Odisha,Nuapada,4,Home Singh Majhi,Bharatiya Janata Party,21903,0,21903,19.44
Odisha,Nuapada,5,Bharat Tripathi,Samata Kranti Dal,944,0,944,0.84
Odisha,Nuapada,6,Bhujbal Adbong,Independent,698,0,698,0.62
Odisha,Nuapada,7,Jadumani Panigrahi,Independent,8741,0,8741,7.76
Odisha,Nuapada,8,LOCHAN SINGH MAJHI,Independent,1345,0,1345,1.19
Odisha,Nuapada,9,NOTA,None of the Above,979,0,979,0.87
Odisha,Khariar,1,Adhiraj Mohan Panigrahi,Indian National Congress,40202,0,40202,34.06
Odisha,Khariar,2,Purna Chandra Netam,Bahujan Samaj Party,1245,0,1245,1.05
Odisha,Khariar,3,RITARANI BAGARTTI,Bharatiya Janata Party,34882,0,34882,29.55
Odisha,Khariar,4,Lambodar Nial,Biju Janata Dal,37026,0,37026,31.37
Odisha,Khariar,5,RANGADHAR MAJHI,Aam Aadmi Party,796,0,796,0.67
Odisha,Khariar,6,Sanjay Kumar Naik,Samata Kranti Dal,600,0,600,0.51
Odisha,Khariar,7,Pramod Kumar Dandsena,Independent,516,0,516,0.44
Odisha,Khariar,8,Budharu Bihari,Independent,644,0,644,0.55
Odisha,Khariar,9,Bhubaneswar Majhi,Independent,778,0,778,0.66
Odisha,Khariar,10,Radheshyam Sagar,Independent,463,0,463,0.39
Odisha,Khariar,11,NOTA,None of the Above,894,0,894,0.76
Odisha,Umarkote,1,NITYANANDA GOND,Bharatiya Janata Party,59663,0,59663,39.06
Odisha,Umarkote,2,JASODA GOND,Indian National Congress,32307,0,32307,21.15
Odisha,Umarkote,3,SUDAR BHATARA,Bahujan Samaj Party,3736,0,3736,2.45
Odisha,Umarkote,4,SUBASH GOND,Biju Janata Dal,49900,0,49900,32.67
Odisha,Umarkote,5,LAKHIRAM GOND,Samata Kranti Dal,2960,0,2960,1.94
Odisha,Umarkote,6,NOTA,None of the Above,4180,0,4180,2.74
Odisha,Nabarangpur,1,GOURI SHANKAR MAJHI,Bharatiya Janata Party,57758,0,57758,30.82
Odisha,Nabarangpur,2,SADAN NAYAK,Indian National Congress,54907,0,54907,29.3
Odisha,Nabarangpur,3,SADASIVA PRADHANI,Biju Janata Dal,64837,0,64837,34.6
Odisha,Nabarangpur,4,BEDABYAS BHATRA,Independent,5946,0,5946,3.17
Odisha,Nabarangpur,5,NOTA,None of the Above,3936,0,3936,2.1
Odisha,Dabugam,1,DAMUSINGH MAJHI,Bahujan Samaj Party,2120,0,2120,1.29
Odisha,Dabugam,2,PADMAN NAYAK,Bharatiya Janata Party,16335,0,16335,9.92
Odisha,Dabugam,3,BHUJABAL MAJHI,Indian National Congress,65808,0,65808,39.96
Odisha,Dabugam,4,MANOHAR RANDHARI,Biju Janata Dal,73200,0,73200,44.45
Odisha,Dabugam,5,MANOHAR RANDHARI,Independent,3407,0,3407,2.07
Odisha,Dabugam,6,NOTA,None of the Above,3799,0,3799,2.31
Odisha,Lanjigarh,1,PRADIP KUMAR DISHARI,Biju Janata Dal,34087,0,34087,36.04
Odisha,Lanjigarh,2,RAMESH CHANDRA MAJHI,Bharatiya Janata Party,21249,0,21249,22.47
Odisha,Lanjigarh,3,SIBAJI MAJHI,Indian National Congress,31017,0,31017,32.8
Odisha,Lanjigarh,4,SURESH MAJHI,Bahujan Samaj Party,2083,0,2083,2.2
Odisha,Lanjigarh,5,UDHABA MUNDA,Samata Kranti Dal,852,0,852,0.9
Odisha,Lanjigarh,6,BAISHNAB MAJHI,Gondvana Gantantra Party,816,0,816,0.86
Odisha,Lanjigarh,7,RAJ KISHOR DALPATI,Bahujan Mukti Party,1306,0,1306,1.38
Odisha,Lanjigarh,8,UDDHABA NAIK,Independent,1212,0,1212,1.28
Odisha,Lanjigarh,9,NOTA,None of the Above,1947,0,1947,2.06
Odisha,Junagarh,1,ANIL KUMAR SINGH DEO,Indian National Congress,15857,0,15857,16.76
Odisha,Junagarh,2,DIBYA SHANKAR MISHRA,Biju Janata Dal,44061,0,44061,46.57
Odisha,Junagarh,3,MANOJ KUMAR MEHER,Bharatiya Janata Party,29697,0,29697,31.39
Odisha,Junagarh,4,KIRTI CHANDRA GOUDA,Bahujan Mukti Party,870,0,870,0.92
Odisha,Junagarh,5,JATINDRA SAHU,Ambedkarite Party of India,1170,0,1170,1.24
Odisha,Junagarh,6,SHIBA HATI,Samajwadi Party,881,0,881,0.93
Odisha,Junagarh,7,PRIYABRATA SIPKA,Independent,923,0,923,0.98
Odisha,Junagarh,8,NOTA,None of the Above,1156,0,1156,1.22
Odisha,Dharmgarh,1,ANANTA PRATAP DEO,Bharatiya Janata Party,25493,0,25493,24.95
Odisha,Dharmgarh,2,DIGAMBAR DURIA,Indian National Congress,20544,0,20544,20.11
Odisha,Dharmgarh,3,MOUSADHI BAG,Biju Janata Dal,35633,0,35633,34.88
Odisha,Dharmgarh,4,JUBARAJ PARABHOE,Bahujan Samaj Party,892,0,892,0.87
Odisha,Dharmgarh,5,GHASIRAM NIAL,Hindusthan Nirman Dal,856,0,856,0.84
Odisha,Dharmgarh,6,NIRMAL JAL,Bahujan Mukti Party,844,0,844,0.83
Odisha,Dharmgarh,7,PUSPALATA CHOUHAN,Ambedkarite Party of India,838,0,838,0.82
Odisha,Dharmgarh,8,BAJRANG AGRAWAL,Independent,909,0,909,0.89
Odisha,Bhawanipatna,1,Dusmanta Naik,Biju Janata Dal,29893,0,29893,33.77
Odisha,Bhawanipatna,2,Pradipta Kumar Naik,Bharatiya Janata Party,35597,0,35597,40.21
Odisha,Bhawanipatna,3,Mangal Pal,Bahujan Samaj Party,1005,0,1005,1.14
Odisha,Bhawanipatna,4,Sagar Charan Das,Indian National Congress,18567,0,18567,20.97
Odisha,Bhawanipatna,5,Chandra Mani Mahananda,Ambedkarite Party of India,1032,0,1032,1.17
Odisha,Bhawanipatna,6,Rishi Sudan Chhatrapal,Bahujan Mukti Party,784,0,784,0.89
Odisha,Bhawanipatna,7,Jugeswar Naik,Independent,641,0,641,0.72
Odisha,Bhawanipatna,8,NOTA,None of the Above,1006,0,1006,1.14
Odisha,Dharmgarh,9,RABINDRA KUMAR PATTJOSHI,Independent,14999,0,14999,14.68
Odisha,Dharmgarh,10,NOTA,None of the Above,1157,0,1157,1.13
Odisha,Narla,1,Aniruddha Padhan,Bharatiya Janata Party,27204,0,27204,25.88
Odisha,Narla,2,Chittaranjan Mandal,Indian National Congress,20126,0,20126,19.15
Odisha,Narla,3,Pravakar Nag,Bahujan Samaj Party,835,0,835,0.79
Odisha,Narla,4,Bhupinder Singh,Biju Janata Dal,30673,0,30673,29.18
Odisha,Narla,5,Gabhira Suna,Ambedkarite Party of India,968,0,968,0.92
Odisha,Narla,6,Duryadhan Das,Communist Party of India  (Marxist-Leninist)  (Liberation),436,0,436,0.41
Odisha,Narla,7,Mahendra Dhangada Majhi,Bahujan Mukti Party,612,0,612,0.58
Odisha,Narla,8,Kedar Nath Rana,Independent,1696,0,1696,1.61
Odisha,Baliguda,1,KARENDRA MAJHI,Bharatiya Janata Party,21787,0,21787,24.39
Odisha,Baliguda,2,KUNAL PRADHAN,Nationalist Congress Party,1087,0,1087,1.22
Odisha,Baliguda,3,CHAKRAMANI KANHAR,Biju Janata Dal,36942,0,36942,41.35
Odisha,Baliguda,4,SIMAN MALLICK,Indian National Congress,26304,0,26304,29.44
Odisha,Baliguda,5,JAYASINGH MALLICK,Bahujan Mukti Party,1165,0,1165,1.3
Odisha,Baliguda,6,SUSAMA KANHAR,Hindusthan Nirman Dal,846,0,846,0.95
Odisha,Baliguda,7,NOTA,None of the Above,1203,0,1203,1.35
Odisha,Narla,9,Durga Prasad Mohanty,Independent,17722,0,17722,16.86
Odisha,Narla,10,MANOJ KUMAR PATTANAYAK,Independent,4132,0,4132,3.93
Odisha,Narla,11,NOTA,None of the Above,699,0,699,0.67
Odisha,Jharigam,1,ULDHAR MAJHI,Indian National Congress,46444,0,46444,26.64
Odisha,Jharigam,2,PARSURAM MAJHI,Bharatiya Janata Party,39527,0,39527,22.67
Odisha,Jharigam,3,PRAKASH CHANDRA MAJHI,Biju Janata Dal,77719,0,77719,44.57
Odisha,Jharigam,4,SUNITA BANJARA,Independent,4983,0,4983,2.86
Odisha,Jharigam,5,NOTA,None of the Above,5689,0,5689,3.26
Odisha,G. Udayagiri,1,ARCHANA PRADHAN,Bharatiya Janata Party,23513,170,23683,34.65
Odisha,G. Udayagiri,2,ASISH MALLIK,Nationalist Congress Party,489,0,489,0.72
Odisha,G. Udayagiri,3,SHYAMAGHANA PRADHAN,Indian National Congress,13362,103,13465,19.7
Odisha,G. Udayagiri,4,SALUGA PRADHAN,Biju Janata Dal,27538,87,27625,40.41
Odisha,G. Udayagiri,5,PUSHARA KANHAR,Independent,843,3,846,1.24
Odisha,G. Udayagiri,6,PRATAP KUMAR PRADHAN,Independent,858,0,858,1.26
Odisha,G. Udayagiri,7,JACOB PRADHAN,Independent,950,2,952,1.39
Odisha,G. Udayagiri,8,NOTA,None of the Above,436,1,437,0.64
Odisha,Phulbani,1,Angada Kanhar,Biju Janata Dal,52894,98,52992,49.06
Odisha,Phulbani,2,Kishor Chandra Kanhar,Indian National Congress,18133,59,18192,16.84
Odisha,Phulbani,3,Debanarayan Pradhan,Bharatiya Janata Party,31503,276,31779,29.42
Odisha,Phulbani,4,Ananta Kanhar,Independent,714,0,714,0.66
Odisha,Phulbani,5,Krushna Kanhar,Independent,570,0,570,0.53
Odisha,Phulbani,6,Jagadish Pradhan,Independent,544,0,544,0.5
Odisha,Phulbani,7,Nabina Chandra Kanhar,Independent,1033,1,1034,0.96
Odisha,Phulbani,8,Premasila Jhankar,Independent,1161,2,1163,1.08
Odisha,Phulbani,9,NOTA,None of the Above,1015,2,1017,0.94
Odisha,Baramba,1,DEBIPRASAD MISHRA,Biju Janata Dal,29301,0,29301,58.59
Odisha,Baramba,2,BOBBY MOHANTY,Indian National Congress,2088,0,2088,4.18
Odisha,Baramba,3,BIJAYA KUMAR DALABEHERA,Bharatiya Janata Party,17273,0,17273,34.54
Odisha,Baramba,4,SUBAS KUMAR SAHOO,Bahujan Samaj Party,217,0,217,0.43
Odisha,Baramba,5,KISHORE KUMAR JENA,Independent,165,0,165,0.33
Odisha,Baramba,6,NITYANANDA KHATUA,Independent,124,0,124,0.25
Odisha,Baramba,7,PARESH KUMAR BEHERA,Independent,100,0,100,0.2
Odisha,Baramba,8,PRIYARANJAN PRATAPSINGH,Independent,135,0,135,0.27
Odisha,Baramba,9,MANOJ KUMAR NANDA,Independent,106,0,106,0.21
Odisha,Kantamal,1,Kanhai Charan Danga,Bharatiya Janata Party,30888,202,31090,34.23
Odisha,Kantamal,2,Prasanta Kumar Sahu,Indian National Congress,8160,53,8213,9.04
Odisha,Kantamal,3,Mahidhar Rana,Biju Janata Dal,26342,114,26456,29.13
Odisha,Kantamal,4,Manoranjan Kuanar,Hindusthan Nirman Dal,1554,0,1554,1.71
Odisha,Kantamal,5,Sesha Kumar Meher,Independent,20514,89,20603,22.68
Odisha,Kantamal,6,Sudhansu Danga,Independent,2228,0,2228,2.45
Odisha,Kantamal,7,NOTA,None of the Above,689,2,691,0.76
Odisha,Banki,1,Debasis Patnaik,Indian National Congress,37496,0,37496,33.91
Odisha,Banki,2,Devi Ranjan Tripathy,Biju Janata Dal,50522,0,50522,45.69
Odisha,Banki,3,SUBHRANSU MOHAN PADHI,Bharatiya Janata Party,20694,0,20694,18.71
Odisha,Banki,4,Aravinda Behera,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),416,0,416,0.38
Odisha,Banki,5,Joginath Sahoo,Rashtriya Indepndent Morcha,426,0,426,0.39
Odisha,Banki,6,Nalini Kumar Ray,Independent,175,0,175,0.16
Odisha,Banki,7,Sangram Keshari Samanta Singhar,Independent,209,0,209,0.19
Odisha,Banki,8,NOTA,None of the Above,642,0,642,0.58
Odisha,Boudh,1,Abakash Sahoo,Communist Party of India,4133,8,4141,4.77
Odisha,Boudh,2,Kruttibas Palia,Nationalist Congress Party,632,2,634,0.73
Odisha,Boudh,3,Pradip Kumar Amat,Biju Janata Dal,42090,179,42269,48.65
Odisha,Boudh,4,Susanta Kumar Pradhan,Bharatiya Janata Party,37541,253,37794,43.5
Odisha,Boudh,5,Kedarnath Sahoo,"Proutist Bloc, India",767,0,767,0.88
Odisha,Boudh,6,Laxman Behera,Independent,655,0,655,0.75
Odisha,Boudh,7,NOTA,None of the Above,626,6,632,0.73
Odisha,Baramba,10,JUGAL KISHOR ROUT,Independent,159,0,159,0.32
Odisha,Baramba,11,NOTA,None of the Above,339,0,339,0.68
Odisha,Athagarh,1,UMA BALLAV RATH,Indian National Congress,7664,0,7664,8.62
Odisha,Athagarh,2,BRAJENDRA KUMAR RAY,Bharatiya Janata Party,22979,0,22979,25.86
Odisha,Athagarh,3,RANENDRA PRATAP SWAIN,Biju Janata Dal,52413,0,52413,58.98
Odisha,Athagarh,4,SUBAS KUMAR SAHOO,Bahujan Samaj Party,303,0,303,0.34
Odisha,Athagarh,5,BISWAJIT SAHOO,Krupaa Party,128,0,128,0.14
Odisha,Athagarh,6,MAHAMAD MUSTAK HUSSAIN,Ambedkar National Congress,149,0,149,0.17
Odisha,Athagarh,7,ABHAYA KUMAR BARIK,Independent,4323,0,4323,4.86
Odisha,Athagarh,8,ABHAYA KUMAR ROUT,Independent,129,0,129,0.15
Odisha,Athagarh,9,RASHMI RANJAN PARIDA,Independent,212,0,212,0.24
Odisha,Barabati,1,Debashish Samantaray,Biju Janata Dal,33060,0,33060,34.36
Odisha,Barabati,2,Mohammed Moquim,Indian National Congress,37159,0,37159,38.62
Odisha,Barabati,3,Samir Dey,Bharatiya Janata Party,23609,0,23609,24.54
Odisha,Barabati,4,Jaya Sankar Acharya,Kalinga Sena,153,0,153,0.16
Odisha,Barabati,5,Priyadarsan Pavel,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),247,0,247,0.26
Odisha,Barabati,6,Biswanath Rout,Krupaa Party,112,0,112,0.12
Odisha,Barabati,7,Seetal Kinner,Akhil Bharat Hindu Mahasabha,146,0,146,0.15
Odisha,Barabati,8,Shaikh Muntaqeem Buksh,Aam Aadmi Party,181,0,181,0.19
Odisha,Barabati,9,Hemanta Behera,Independent,645,0,645,0.67
Odisha,Choudwar,1,Jagdish Chandra Mohanty,Indian National Congress,2981,0,2981,4.17
Odisha,Choudwar,2,Naba Kishore Das,Bahujan Samaj Party,200,0,200,0.28
Odisha,Choudwar,3,Nayan Kishore Mohanty,Bharatiya Janata Party,21644,0,21644,30.25
Odisha,Choudwar,4,Souvic Biswal,Biju Janata Dal,33442,0,33442,46.74
Odisha,Choudwar,5,Biswa Ranjan Jethy,Hindusthan Nirman Dal,191,0,191,0.27
Odisha,Choudwar,6,Sasmita Mohanty,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),175,0,175,0.24
Odisha,Choudwar,7,Deepak Kumar Barik,Independent,11338,0,11338,15.85
Odisha,Choudwar,8,Prasna Kumari Nayak,Independent,149,0,149,0.21
Odisha,Choudwar,9,Ranjeet Mallick,Independent,251,0,251,0.35
Odisha,Niali,1,Chhabi Malik,Bharatiya Janata Party,26245,0,26245,36.96
Odisha,Niali,2,Dr. Pramod Kumar Mallick,Biju Janata Dal,38073,0,38073,53.62
Odisha,Niali,3,Mamata Bhoi,Indian National Congress,5645,0,5645,7.95
Odisha,Niali,4,Sudhir Kumar Nayak,Bahujan Samaj Party,261,0,261,0.37
Odisha,Niali,5,Anil Kumar Behera,Freethought Party of India,136,0,136,0.19
Odisha,Niali,6,Prakash Chandra Bhoi,All India Forward Bloc,121,0,121,0.17
Odisha,Niali,7,Sanatan Malik,Odisha Pragati Dal,83,0,83,0.12
Odisha,Niali,8,Samir Kumar Bhoi,Jai Prakash Janata Dal,128,0,128,0.18
Odisha,Niali,9,NOTA,None of the Above,313,0,313,0.44
Odisha,Athagarh,10,HRUDANANDA MOHAPATRA,Independent,138,0,138,0.16
Odisha,Athagarh,11,NOTA,None of the Above,426,0,426,0.48
Odisha,Barabati,10,NOTA,None of the Above,896,0,896,0.93
Odisha,Cuttack Sadar,1,Abhishek Mahananda,Indian National Congress,2870,0,2870,4.26
Odisha,Cuttack Sadar,2,Chandra Sarathi Behera,Biju Janata Dal,38050,0,38050,56.43
Odisha,Cuttack Sadar,3,Dilip Kumar Mallick,Bharatiya Janata Party,25415,0,25415,37.69
Odisha,Cuttack Sadar,4,Paramananda Sethi,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),280,0,280,0.42
Odisha,Cuttack Sadar,5,Rakesh Behera,Independent,247,0,247,0.37
Odisha,Cuttack Sadar,6,NOTA,None of the Above,566,0,566,0.84
Odisha,Choudwar,10,Subhendu Mohanty,Independent,175,0,175,0.24
Odisha,Choudwar,11,Sameer Kumar Sahoo,Independent,375,0,375,0.52
Odisha,Choudwar,12,NOTA,None of the Above,621,0,621,0.87
Odisha,Mahanga,1,DEBENDRA KUMAR SAHOO,Indian National Congress,9545,0,9545,7.88
Odisha,Mahanga,2,PRATAP JENA,Biju Janata Dal,61674,0,61674,50.93
Odisha,Mahanga,3,BIJAYA KUMAR SAMAL,Bahujan Samaj Party,322,0,322,0.27
Odisha,Mahanga,4,SARADA PRASAD PADHAN,Bharatiya Janata Party,48614,0,48614,40.14
Odisha,Mahanga,5,ANIL KUMAR SAMAL,Hindusthan Nirman Dal,181,0,181,0.15
Odisha,Mahanga,6,CHITTARANJAN SAHOO,Kalinga Sena,63,0,63,0.05
Odisha,Mahanga,7,BYOMAKESHA PARIDA,Bahujan Mukti Party,81,0,81,0.07
Odisha,Mahanga,8,N. SAMBIT DAS,Samajwadi Party,79,0,79,0.07
Odisha,Salipur,1,PRAKASH CHANDRA BEHERA,Bharatiya Janata Party,34880,0,34880,38.54
Odisha,Salipur,2,PRASANTA BEHERA,Biju Janata Dal,51420,0,51420,56.82
Odisha,Salipur,3,JASOBANTA JENA,Bahujan Samaj Party,387,0,387,0.43
Odisha,Salipur,4,RABINDRA NATH KAR,Indian National Congress,2597,0,2597,2.87
Odisha,Salipur,5,BISHNU CHARAN DAS,Kalinga Sena,223,0,223,0.25
Odisha,Salipur,6,SHAIKH KAMILUDDIN AHEMAD,Ambedkar National Congress,133,0,133,0.15
Odisha,Salipur,7,SUBRAT KUMAR LENKA,Samajwadi Party,118,0,118,0.13
Odisha,Salipur,8,JYOTIPRASAD PATI,Independent,257,0,257,0.28
Odisha,Salipur,9,BIBHU PADARBINDA NAYAK,Independent,154,0,154,0.17
Odisha,Mahanga,9,ISRAIL KHAN,Independent,91,0,91,0.08
Odisha,Mahanga,10,DEBADUTTA SATAPATHY,Independent,141,0,141,0.12
Odisha,Mahanga,11,NOTA,None of the Above,316,0,316,0.26
Odisha,Salipur,10,SAYAD MOHAMMAD FARZAN,Independent,199,0,199,0.22
Odisha,Salipur,11,NOTA,None of the Above,130,0,130,0.14
Odisha,Kendrapara,1,Ganeswar Behera,Indian National Congress,24021,0,24021,39.04
Odisha,Kendrapara,2,RANJAN KUMAR MALLIK,Bahujan Samaj Party,403,0,403,0.66
Odisha,Kendrapara,3,Shashi Bhusan Behera,Biju Janata Dal,27566,0,27566,44.8
Odisha,Kendrapara,4,SUNAKAR BEHERA,Bharatiya Janata Party,8896,0,8896,14.46
Odisha,Kendrapara,5,Narendra Kumar Malik,Indian Citizens' Party,73,0,73,0.12
Odisha,Kendrapara,6,Alok Kumar Jena,Independent,37,0,37,0.06
Odisha,Kendrapara,7,Urmila Sethi,Independent,146,0,146,0.24
Odisha,Kendrapara,8,Padma Charan Malik,Mazdoor Vikash Dal,92,0,92,0.15
Odisha,Kendrapara,9,Rabindra Muduli,Independent,84,0,84,0.14
Odisha,Kendrapara,10,NOTA,None of the Above,207,0,207,0.34
Odisha,Rajanagar,1,Anirudha Sethi,Bahujan Samaj Party,1418,0,1418,1.34
Odisha,Rajanagar,2,ALEKHA KUMAR JENA,Bharatiya Janata Party,14740,0,14740,13.89
Odisha,Rajanagar,3,ANSHUMAN MOHANTY,Indian National Congress,38831,0,38831,36.6
Odisha,Rajanagar,4,DHRUBA CHARAN SAHOO,Biju Janata Dal,49016,0,49016,46.2
Odisha,Rajanagar,5,Sudarshan Pradhan,Samajwadi Party,207,0,207,0.2
Odisha,Rajanagar,6,Ajaya Kumar Behera,Independent,1238,0,1238,1.17
Odisha,Rajanagar,7,Sunita Pradhan,Independent,253,0,253,0.24
Odisha,Rajanagar,8,NOTA,None of the Above,395,0,395,0.37
Odisha,Balikuda,1,Damodar Rout,Bharatiya Janata Party,10284,0,10284,20.3
Odisha,Balikuda,2,Bikram Kumar Swain,Nationalist Congress Party,93,0,93,0.18
Odisha,Balikuda,3,Raghunandan Das,Biju Janata Dal,27507,0,27507,54.3
Odisha,Balikuda,4,Lalatendu Mohapatra,Indian National Congress,12166,0,12166,24.02
Odisha,Balikuda,5,Umakanta Parida,Kalinga Sena,88,0,88,0.17
