State,Constituency,O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Pct of Votes
Andhra Pradesh,Kodur,13,Pilli Rama Rao,Independent,94,0,94,0.07
Andhra Pradesh,Kodur,14,Bandela Obaiah,Independent,120,1,121,0.09
Andhra Pradesh,Kodur,15,Bonasi Keerthana,Independent,174,1,175,0.13
Andhra Pradesh,Kodur,16,NOTA,None of the Above,1552,1,1553,1.14
Andhra Pradesh,Rayachoti,1,GADIKOTA. SRIKANTH REDDY.,Yuvajana Sramika Rythu Congress Party,94078,0,94078,56.92
Andhra Pradesh,Rayachoti,2,PALAgiRi.SRiNiVASA KUMAR RAJU,Bharatiya Janata Party,1149,0,1149,0.7
Andhra Pradesh,Rayachoti,3,RAMESH KUMAR REDDY REDDAPPAGARI,Telugu Desam,62888,0,62888,38.05
Andhra Pradesh,Rayachoti,4,Shaik ALLABAKASH.,Indian National Congress,2528,0,2528,1.53
Andhra Pradesh,Rayachoti,5,Papireddy. Madan Mohan Reddy,B. C. United Front,620,0,620,0.38
Andhra Pradesh,Rayachoti,6,MANOHARA. REPANA,Anna YSR Congress Party,121,0,121,0.07
Andhra Pradesh,Rayachoti,7,YADAGUTTA. JANGAMAIAH,Pyramid Party of India,155,0,155,0.09
Andhra Pradesh,Rayachoti,8,K. VINAY KUMAR REDDY.,Praja Shanthi Party,247,0,247,0.15
Andhra Pradesh,Rayachoti,9,S. HASAN. BASHA.,Janasena Party,1417,0,1417,0.86
Andhra Pradesh,Pulivendla,1,YEDUGURI SANDINTI JAGAN MOHAN REDDY,Yuvajana Sramika Rythu Congress Party,131776,0,131776,73.48
Andhra Pradesh,Pulivendla,2,PEDABALLI SUSHMA,Bharatiya Janata Party,1234,0,1234,0.69
Andhra Pradesh,Pulivendla,3,VELURU SRINIVASA REDDY,Indian National Congress,1227,0,1227,0.68
Andhra Pradesh,Pulivendla,4,VENKATA SATISH KUMAR REDDY SINGA REDDY,Telugu Desam,42068,0,42068,23.46
Andhra Pradesh,Pulivendla,5,GAVI REDDY RAMESWARA REDDY,Pyramid Party of India,141,0,141,0.08
Andhra Pradesh,Pulivendla,6,BHASKAR REDDY RAJULA,Samajwadi Forward Bloc,89,0,89,0.05
Andhra Pradesh,Pulivendla,7,AKKULUGARI VIJAY KUMAR REDDY,Praja Shanthi Party,101,0,101,0.06
Andhra Pradesh,Pulivendla,8,SIVA CHANDRA REDDY KOMMA,Anna YSR Congress Party,59,0,59,0.03
Andhra Pradesh,Pulivendla,9,KRISHNA DANTHALURU,B. C. United Front,66,0,66,0.04
Andhra Pradesh,Rayachoti,10,NOTA,None of the Above,2083,0,2083,1.26
Andhra Pradesh,Pulivendla,10,HEMADRI REDDY NANDYAL,Independent,85,0,85,0.05
Andhra Pradesh,Pulivendla,11,POREDDY PRABHAKAR REDDY,Independent,116,0,116,0.06
Andhra Pradesh,Pulivendla,12,TUGUTTLA RAGHAVA REDDY,Independent,214,0,214,0.12
Andhra Pradesh,Pulivendla,13,NOTA,None of the Above,2156,0,2156,1.2
Andhra Pradesh,Jammalamadugu,1,Mule Sudheer Reddy,Yuvajana Sramika Rythu Congress Party,124201,0,124201,61.32
Andhra Pradesh,Jammalamadugu,2,Rama Subba Reddy Ponnapureddy,Telugu Desam,72856,0,72856,35.97
Andhra Pradesh,Jammalamadugu,3,Rotikadi Ramakrishna,Bharatiya Janata Party,526,0,526,0.26
Andhra Pradesh,Jammalamadugu,4,Vennapusa Sulochana,Indian National Congress,569,0,569,0.28
Andhra Pradesh,Jammalamadugu,5,Arigela Chinnagari Vinay Kumar,Janasena Party,1026,0,1026,0.51
Andhra Pradesh,Jammalamadugu,6,Pogaku Hanumantha Reddy,Pyramid Party of India,62,0,62,0.03
Andhra Pradesh,Jammalamadugu,7,Poreddy Maheswara Reddy,Samajwadi Forward Bloc,71,0,71,0.04
Andhra Pradesh,Jammalamadugu,8,Vongala Nagendrudu,B. C. United Front,56,0,56,0.03
